"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18767","Verify that report can be deleted","create, view, delete Report","2026-05-07","passed","2026-05-07","Actions","Tests with presetup","",""
"","17841","Verify that data is filtered by Interval Daily","create, view, Scheduler","2026-05-07","passed","2026-05-07","Verify that data is filtered by Interval Daily","Filter by data","",""
"","13840","Verify that ""Edit"" window is opened","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Actions","",""
"","14214","Verify that data is filtered by report type Check many attributes","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","14111","Verify that check5attr reports is sorted by String ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","30114","Test precondition: data setup","create, view, delete Report","2026-05-07","passed","2026-05-07","","Tests with presetup","",""
"","16188","edit","Smoke tests","2026-05-07","passed","2026-05-07","","SchedulerPage","",""
"","40291","create","Smoke tests","2026-05-07","failed","2026-05-07","","SchedulerPage","",""
"","15882","Verify that data is sorted by Interval ascending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","16254","Verify that data is filtered by report type Check 5 attributes","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","15082","Verify that check5attr reports is sorted by Number ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","16192","Verify that ""Info"" window is opened","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Actions","",""
"","41652","Verify button 'Schedule' in Scheduler 'Check 5 attributes' does not exist in Dom when an abligatory field 'Language' is not filled","create, view, Scheduler","2026-05-07","failed","2026-05-07","","Create Scheduler","",""
"","17022","Verify that format in the ""Edit"" window is editable","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Edit Schedule","",""
"","17199","Verify that data is sorted by Start Date ascending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","10032","Verify that data is filtered by creation time Yesterday","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","17484","Verify that data is sorted by Interval descending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","9365","info action","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
"","18408","Verify that check5attr reports is sorted by Creator ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","20164","Verify that data is filtered by report name 'Check 5 attributes' and by string","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","10529","create scheduler dialog for Check 5 attributes","Smoke tests","2026-05-07","broken","2026-05-07","","SchedulerPage","",""
"","13979","Verify that data is filtered by report name 'Check 5 attributes' and by number","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","17272","Verify that data is sorted by Creator ascending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","42117","Verify that warning icon is displayed if input date from past","create, view, Scheduler","2026-05-07","failed","2026-05-07","","Create Scheduler","",""
"","11323","Verify that 'View' window is opened","create, view, delete Report","2026-05-07","passed","2026-05-07","Actions","Tests with presetup","",""
"","17138","Verify that check5attr reports is sorted by String descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","13631","Verify that data is filtered by format PDF","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","17895","Verify that data is sorted by Creation Time descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting","Tests with presetup","",""
"","13732","Verify that data is sorted by Creator ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting","Tests with presetup","",""
"","40484","Verify that Scheduler 'Check many attributes' is created filling all abligatory fields","create, view, Scheduler","2026-05-07","failed","2026-05-07","","Create Scheduler","",""
"","18451","Verify that the report 'Check 5 attributes' is created by filling all fields","create, view, delete Report","2026-05-07","passed","2026-05-07","","Create report with all fields filled","",""
"","12024","Verify that data is filtered by Interval Monthly","create, view, Scheduler","2026-05-07","passed","2026-05-07","Verify that data is filtered by Interval Monthly","Filter by data","",""
"","12371","filters","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
"","17510","Verify that data is sorted by Start Date descending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","18957","Verify that check5attr reports is sorted by Date descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","15499","Verify that data is sorted by Creator descending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","12317","Verify that data is filtered by Format PDF","create, view, Scheduler","2026-05-07","passed","2026-05-07","Verify that data is filtered by Format PDF","Filter by data","",""
"","13162","Verify that the report 'Check 5 attributes' is created by filling only mandatory fields","create, view, delete Report","2026-05-07","passed","2026-05-07","","Create report with only mandatory fields filled (without deletion)","",""
"","11070","info action","Smoke tests","2026-05-07","broken","2026-05-07","","SchedulerPage","",""
"","9214","Verify that 'Info' window is opened","create, view, delete Report","2026-05-07","passed","2026-05-07","Actions","Tests with presetup","",""
"","40081","Verify that Scheduler ""Check 5 attributes"" is created filling all abligatory fields","create, view, Scheduler","2026-05-07","failed","2026-05-07","","Create Scheduler","",""
"","9544","Verify that data is filtered by creation time Today","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","17115","Verify that check5attr reports is sorted by Number descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","19287","Verify that check5attr reports is sorted by Creator descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","8372","action menu for PDF format","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
"","14270","delete","Smoke tests","2026-05-07","passed","2026-05-07","","SchedulerPage","",""
"","19038","Verify that the report can be downloaded","create, view, delete Report","2026-05-07","skipped","2026-05-07","Actions","Tests with presetup","",""
"","38228","Verify that data is filtered by report name 'Check 5 attributes' and by date","create, view, delete Report","2026-05-07","passed","2026-05-07","Filter reports","Tests with presetup","",""
"","15177","Verify that check5attr reports is sorted by Int ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","12795","canceled create","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
"","18009","Verify that check5attr reports is sorted by Creation Time descending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","18302","Verify that check5attr reports is sorted by Creation Time ascending","create, view, delete Report","2026-05-07","passed","2026-05-07","Sorting > Sorting check5attr reports","Tests with presetup","",""
"","16368","Verify that data is sorted by Scheduled Time descending","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Sorting","",""
"","10562","canceled delete","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
"","12526","filters","Smoke tests","2026-05-07","passed","2026-05-07","","SchedulerPage","",""
"","8478","start page","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
"","13915","Verify that schedule is deleted","create, view, Scheduler","2026-05-07","passed","2026-05-07","","Actions","",""
"","8942","delete","Smoke tests","2026-05-07","passed","2026-05-07","","Report Page","",""
